Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00074,="23:12:15,919",0x78AE7AE,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00075,="23:12:16,909",0x78B0EB2,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00076,="23:12:17,899",0x78B35B6,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00077,="23:12:18,919",0x78B5CCD,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00078,="23:12:19,910",0x78B83D1,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00079,="23:12:20,929",0x78BAAD5,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00080,="23:12:21,918",0x78BD1D8,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00081,="23:12:22,909",0x78BF8F0,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00082,="23:12:26,118",0x78C75D2,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00083,="23:12:27,138",0x78C9D3A,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00084,="23:12:28,129",0x78CC498,ch1,Receive,0x0056,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00085,="23:12:29,149",0x78CEBF5,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00086,="23:12:30,140",0x78D12F8,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00087,="23:12:31,158",0x78D3A10,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00088,="23:12:32,148",0x78D6114,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00089,="23:12:33,139",0x78D8817,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00090,="23:12:34,159",0x78DAF1B,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
